Relatório de Anúncios de Produto - Shopee Brasil,,,,,,,,,,,,,,,,,,,,,,,
Nome de Usuário,,,,,,,,,,,,,,,,,,,,,,,
Nome da loja,,,,,,,,,,,,,,,,,,,,,,,
ID da Loja,,,,,,,,,,,,,,,,,,,,,,,
Nome do Produto / Anúncio,Kit 3 Sutiã Amamentação Renda Sem Bojo Reforçado Gestante Pós Parto,,,,,,,,,,,,,,,,,,,,,,
ID do Produto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data de Criação do Relatório,,,,,,,,,,,,,,,,,,,,,,,
Período,04/05/2024 - 10/05/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Busca,,,,,,,,,,,,,,,,,,,,,,,
#,Palavras-chave,Tipo de combinação,Consulta de pesquisa,Método de Lance,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,Posicionamento Médio,ROAS,ROAS Direto,ACOS,ACOS Direto
288,maternidade,Correspondência Ampla,roupas gravidas e gestantes,Lance Manual,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,19,0.00,0.00,0.00%,0.00%
289,maternidade,Correspondência Ampla,gestante conforto,Lance Manual,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,27,0.00,0.00,0.00%,0.00%
290,amamentação,Correspondência Ampla,camisola amamentação inverno,Lance Manual,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,15,0.00,0.00,0.00%,0.00%
291,amamentação,Correspondência Ampla,sutiã de amamentação algodão,Lance Manual,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
292,gestante,Correspondência Ampla,sutiã gravidez,Lance Manual,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
293,maternidade,Correspondência Ampla,pijama pós parto maternidade,Lance Manual,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,22,0.00,0.00,0.00%,0.00%
294,amamentação,Correspondência Ampla,soutien de amamentação com bojo,Lance Manual,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.14,4,0.00,0.00,0.00%,0.00%
295,amamentação,Correspondência Ampla,sutiã amamentação kit 3,Lance Manual,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,5,0.00,0.00,0.00%,0.00%
296,amamentação,Correspondência Ampla,sutia amamentação algodão,Lance Manual,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,14,0.00,0.00,0.00%,0.00%
297,amamentação,Correspondência Ampla,pijama feminino pos parto,Lance Manual,9,1,11.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,36,0.00,0.00,0.00%,0.00%
298,amamentação,Correspondência Ampla,kit sutiã amamentação,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,19,0.00,0.00,0.00%,0.00%
299,gestante,Correspondência Ampla,sutiã gestante reforçado,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
300,gestante,Correspondência Ampla,vestidos gravidas e gestantes,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,22,0.00,0.00,0.00%,0.00%
301,amamentação,Correspondência Ampla,pijama para amamentar,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,25,0.00,0.00,0.00%,0.00%
302,maternidade,Correspondência Ampla,roupa pra gestante,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
303,maternidade,Correspondência Ampla,roupa pra foto gestante,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,4,0.00,0.00,0.00%,0.00%
304,amamentação,Correspondência Ampla,sutiã amamamentacao,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
305,amamentação,Correspondência Ampla,sutia de amamentacao,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
306,amamentação,Correspondência Ampla,sutiã amamentação com aro,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,9,0.00,0.00,0.00%,0.00%
307,amamentação,Correspondência Ampla,sutian para amamentação,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
308,amamentação,Correspondência Ampla,sultia amamentação,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,2,0.00,0.00,0.00%,0.00%
309,amamentação,Correspondência Ampla,camisola amamentação longa,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,28,0.00,0.00,0.00%,0.00%
310,amamentação,Correspondência Ampla,top de algodão com bojo amamentação,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
311,maternidade,Correspondência Ampla,langerie sexy,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,39,0.00,0.00,0.00%,0.00%
312,amamentação,Correspondência Ampla,top amamentação com bojo,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
313,gestante,Correspondência Ampla,sutiã gestante com bojo,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
314,amamentação,Correspondência Ampla,sutia com bojo amamentação,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
315,maternidade,Correspondência Ampla,langerie,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,34,0.00,0.00,0.00%,0.00%
316,maternidade,Correspondência Ampla,conjunto calvin klein feminino,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
317,maternidade,Correspondência Ampla,camisola pra maternidade,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,24,0.00,0.00,0.00%,0.00%
318,gestante,Correspondência Ampla,conjunto de moletom feminino,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
319,amamentação,Correspondência Ampla,sutiã amamentação demillus,Lance Manual,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
320,amamentação,Correspondência Ampla,sultia amamentacao,Lance Manual,8,4,50.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,4,0.00,0.00,0.00%,0.00%
321,amamentação,Correspondência Ampla,sutia de amametacao,Lance Manual,8,2,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,3,0.00,0.00,0.00%,0.00%
322,amamentação,Correspondência Ampla,sutiã de amamentação com aro,Lance Manual,8,2,25.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,6,0.00,0.00,0.00%,0.00%
323,gestante,Correspondência Ampla,sutiã de grávida,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,6,0.00,0.00,0.00%,0.00%
324,amamentação,Correspondência Ampla,sutia sem bojo,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,3,0.00,0.00,0.00%,0.00%
325,amamentação,Correspondência Ampla,de amamentacao,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,22,0.00,0.00,0.00%,0.00%
326,gestante,Correspondência Ampla,sutiã sustentação,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,17,0.00,0.00,0.00%,0.00%
327,maternidade,Correspondência Ampla,roupa de grávida,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,40,0.00,0.00,0.00%,0.00%
328,amamentação,Correspondência Ampla,sutean amamentação,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,4,0.00,0.00,0.00%,0.00%
329,amamentação,Correspondência Ampla,soutian amamentação,Lance Manual,8,1,12.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,3,0.00,0.00,0.00%,0.00%
330,maternidade,Correspondência Ampla,roupa grávida vestido,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,16,0.00,0.00,0.00%,0.00%
331,maternidade,Correspondência Ampla,enxoval de bebe,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,25,0.00,0.00,0.00%,0.00%
332,maternidade,Correspondência Ampla,roupa para grávida,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,37,0.00,0.00,0.00%,0.00%
333,amamentação,Correspondência Ampla,sutiã amamentação gg,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
334,amamentação,Correspondência Ampla,kit sutian amamentação com bojo,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,9,0.00,0.00,0.00%,0.00%
335,maternidade,Correspondência Ampla,grávida estilosa,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
336,maternidade,Correspondência Ampla,kit enxoval bebe,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,36,0.00,0.00,0.00%,0.00%
337,amamentação,Correspondência Ampla,camisola e robe amamentação,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,16,0.00,0.00,0.00%,0.00%
338,maternidade,Correspondência Ampla,sutian maternidade,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
339,amamentação,Correspondência Ampla,top de amamentação com bojo,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,12,0.00,0.00,0.00%,0.00%
340,maternidade,Correspondência Ampla,kit maternidade mae,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,25,0.00,0.00,0.00%,0.00%
341,maternidade,Correspondência Ampla,kit maternidade mamãe,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,25,0.00,0.00,0.00%,0.00%
342,maternidade,Correspondência Ampla,roupas femininas,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,27,0.00,0.00,0.00%,0.00%
343,amamentação,Correspondência Ampla,sutiã de amamentação trifil,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
344,amamentação,Correspondência Ampla,sutiãs de amamentação,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,4,0.00,0.00,0.00%,0.00%
345,maternidade,Correspondência Ampla,kit de bebe,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,22,0.00,0.00,0.00%,0.00%
346,gestante,Correspondência Ampla,ensaio de gestante,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,15,0.00,0.00,0.00%,0.00%
347,maternidade,Correspondência Ampla,bra ambụng,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,9,0.00,0.00,0.00%,0.00%
348,amamentação,Correspondência Ampla,sutia para amamentação,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,9,0.00,0.00,0.00%,0.00%
349,maternidade,Correspondência Ampla,roby feminino,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,45,0.00,0.00,0.00%,0.00%
350,maternidade,Correspondência Ampla,camisola pós parto maternidade,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,40,0.00,0.00,0.00%,0.00%
351,maternidade,Correspondência Ampla,para bebês,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,18,0.00,0.00,0.00%,0.00%
352,maternidade,Correspondência Ampla,conjunto calcinha e sutiã com bojo,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,33,0.00,0.00,0.00%,0.00%
353,gestante,Correspondência Ampla,sutiã grávida,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,11,0.00,0.00,0.00%,0.00%
354,maternidade,Correspondência Ampla,baby charme sutiã,Lance Manual,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,4,0.00,0.00,0.00%,0.00%
355,amamentação,Correspondência Ampla,sutiã de amamentação lupo,Lance Manual,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,8,0.00,0.00,0.00%,0.00%
356,amamentação,Correspondência Ampla,sutiã amamentação 48,Lance Manual,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,4,0.00,0.00,0.00%,0.00%
357,amamentação,Correspondência Ampla,sutiã amamentação g1,Lance Manual,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,3,0.00,0.00,0.00%,0.00%
358,amamentação,Correspondência Ampla,sutian de amamentação  reforçado com bojo,Lance Manual,7,1,14.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,2,0.00,0.00,0.00%,0.00%
359,amamentação,Correspondência Ampla,robe amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
360,amamentação,Correspondência Ampla,sutiã de amamentação com calcinha,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
361,amamentação,Correspondência Ampla,calcinha plenitude pós parto,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
362,amamentação,Correspondência Ampla,sutia amamentacao com bojo,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,5,0.00,0.00,0.00%,0.00%
363,maternidade,Correspondência Ampla,roupa maternidade feminina,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,22,0.00,0.00,0.00%,0.00%
364,amamentação,Correspondência Ampla,conta pós parto cesária,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,28,0.00,0.00,0.00%,0.00%
365,amamentação,Correspondência Ampla,pijama amamentação plus size,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,32,0.00,0.00,0.00%,0.00%
366,amamentação,Correspondência Ampla,sutian de amamentação reforçado,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,2,0.00,0.00,0.00%,0.00%
367,amamentação,Correspondência Ampla,cinta pós parto amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,9,0.00,0.00,0.00%,0.00%
368,gestante,Correspondência Ampla,roupa para mulher grávida,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,38,0.00,0.00,0.00%,0.00%
369,amamentação,Correspondência Ampla,sutian amamentação plus size,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
370,amamentação,Correspondência Ampla,sutian amamentação algodão,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
371,amamentação,Correspondência Ampla,sutien de amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
372,amamentação,Correspondência Ampla,sutiã sustentação amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,5,0.00,0.00,0.00%,0.00%
373,amamentação,Correspondência Ampla,sutien,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
374,amamentação,Correspondência Ampla,kit de camisola de amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
375,gestante,Correspondência Ampla,camisola longa,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,16,0.00,0.00,0.00%,0.00%
376,amamentação,Correspondência Ampla,sutiã amamentação alça fina,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,10,0.00,0.00,0.00%,0.00%
377,maternidade,Correspondência Ampla,vestidos gestante,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
378,amamentação,Correspondência Ampla,vestido pós parto,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,36,0.00,0.00,0.00%,0.00%
379,amamentação,Correspondência Ampla,sutiã sem costura amamentação,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,18,0.00,0.00,0.00%,0.00%
380,amamentação,Correspondência Ampla,sutiã amame,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,5,0.00,0.00,0.00%,0.00%
381,maternidade,Correspondência Ampla,calcinha com nome,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,10,0.00,0.00,0.00%,0.00%
382,maternidade,Correspondência Ampla,lovito gestante,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,11,0.00,0.00,0.00%,0.00%
383,maternidade,Correspondência Ampla,conjunto de bolsas maternidade,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,32,0.00,0.00,0.00%,0.00%
384,maternidade,Correspondência Ampla,sutiã e calcinha,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,23,0.00,0.00,0.00%,0.00%
385,amamentação,Correspondência Ampla,sutian amamentação tamanho p,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
386,maternidade,Correspondência Ampla,camisola pos cirurgico,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,43,0.00,0.00,0.00%,0.00%
387,amamentação,Correspondência Ampla,kit pós parto,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
388,maternidade,Correspondência Ampla,babydoll,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,31,0.00,0.00,0.00%,0.00%
389,amamentação,Correspondência Ampla,kit sutiã amamentação e calcinha pós parto,Lance Manual,7,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,15,0.00,0.00,0.00%,0.00%
390,amamentação,Correspondência Ampla,sutia amamentar,Lance Manual,6,3,50.00%,1,1,33.33%,33.33%,0.45,0.45,1,1,39.90,39.90,0.45,3,88.67,88.67,1.13%,1.13%
391,amamentação,Correspondência Ampla,sutiã ama,Lance Manual,6,2,33.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,3,0.00,0.00,0.00%,0.00%
392,gestante,Correspondência Ampla,batinha para gestante,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,34,0.00,0.00,0.00%,0.00%
393,maternidade,Correspondência Ampla,mifralingerie,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,1,0.00,0.00,0.00%,0.00%
394,maternidade,Correspondência Ampla,camisola amamentação com robe plus size,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,74,0.00,0.00,0.00%,0.00%
395,maternidade,Correspondência Ampla,lovito sutiã,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,18,0.00,0.00,0.00%,0.00%
396,maternidade,Correspondência Ampla,pijama para grávida,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,21,0.00,0.00,0.00%,0.00%
397,maternidade,Correspondência Ampla,robe maternidade,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,22,0.00,0.00,0.00%,0.00%
398,amamentação,Correspondência Ampla,pijama de frio amamentação,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,14,0.00,0.00,0.00%,0.00%
399,amamentação,Correspondência Ampla,sutiã de amamentação fortr,Lance Manual,6,1,16.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,3,0.00,0.00,0.00%,0.00%
400,maternidade,Correspondência Ampla,pijama maternidade inverno,Lance Manual,6,0,0.00%,1,1,0.00%,0.00%,0.00,0.00,1,1,39.90,39.90,0.00,29,0.00,0.00,0.00%,0.00%
401,maternidade,Correspondência Ampla,calcinha e sutiã conjunto,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,39,0.00,0.00,0.00%,0.00%
402,gestante,Correspondência Ampla,conjunto moletom feminino,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
403,maternidade,Correspondência Ampla,surtian maternidade,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,15,0.00,0.00,0.00%,0.00%
404,amamentação,Correspondência Ampla,camisola amamentacao,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
405,amamentação,Correspondência Ampla,kit calcinha pós parto,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,18,0.00,0.00,0.00%,0.00%
406,gestante,Correspondência Ampla,kit sutiã gestante,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
407,gestante,Correspondência Ampla,camisola feminina senhoras,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,3,0.00,0.00,0.00%,0.00%
408,amamentação,Correspondência Ampla,pijamas pós parto,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,7,0.00,0.00,0.00%,0.00%
409,amamentação,Correspondência Ampla,pijama de amamentação inverno,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,28,0.00,0.00,0.00%,0.00%
410,amamentação,Correspondência Ampla,kit baby doll amamentação,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,14,0.00,0.00,0.00%,0.00%
411,amamentação,Correspondência Ampla,camilosa amamentação,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,26,0.00,0.00,0.00%,0.00%
412,maternidade,Correspondência Ampla,saída de maternidade mãe,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
413,maternidade,Correspondência Ampla,pijama gravida,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
414,maternidade,Correspondência Ampla,mala maternidade,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,10,0.00,0.00,0.00%,0.00%
415,maternidade,Correspondência Ampla,camisola maternidade algodão,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,31,0.00,0.00,0.00%,0.00%
416,amamentação,Correspondência Ampla,sutiã amamentação de algodão,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,6,0.00,0.00,0.00%,0.00%
417,maternidade,Correspondência Ampla,roupa foto gestante,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,13,0.00,0.00,0.00%,0.00%
418,amamentação,Correspondência Ampla,soutien amamentacao,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,8,0.00,0.00,0.00%,0.00%
419,amamentação,Correspondência Ampla,calcinha e sutiã pós parto,Lance Manual,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,16,0.00,0.00,0.00%,0.00%
