Relatório de Anúncios de Produto - Shopee Brasil,,,,,,,,,,,,,,,,,,,,,,,
Nome de Usuário,,,,,,,,,,,,,,,,,,,,,,,
Nome da loja,,,,,,,,,,,,,,,,,,,,,,,
ID da Loja,,,,,,,,,,,,,,,,,,,,,,,
Nome do Produto / Anúncio,Kit 3 Sutiã Amamentação Renda Sem Bojo Reforçado Gestante Pós Parto,,,,,,,,,,,,,,,,,,,,,,
ID do Produto,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Data de Criação do Relatório,,,,,,,,,,,,,,,,,,,,,,,
Período,04/05/2024 - 10/05/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Busca,,,,,,,,,,,,,,,,,,,,,,,
#,Palavras-chave,Tipo de combinação,Consulta de pesquisa,Método de Lance,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,Posicionamento Médio,ROAS,ROAS Direto,ACOS,ACOS Direto
26,amamentação,Correspondência Ampla,cinta pós parto,Lance Manual,234,5,2.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.75,23,0.00,0.00,0.00%,0.00%
27,amamentação,Correspondência Ampla,pijama amamentação,Lance Manual,233,9,3.86%,1,1,11.11%,11.11%,1.35,1.35,1,1,39.90,39.90,1.35,26,29.56,29.56,3.38%,3.38%
28,maternidade,Correspondência Ampla,sutiã,Lance Manual,205,4,1.95%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,23,0.00,0.00,0.00%,0.00%
29,amamentação,Correspondência Ampla,sutian amamentacao,Lance Manual,196,10,5.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.42,7,0.00,0.00,0.00%,0.00%
30,amamentação,Correspondência Ampla,sutiã amamentação reforçado,Lance Manual,195,16,8.21%,6,3,37.50%,18.75%,0.39,0.79,6,3,214.40,119.70,2.36,7,90.68,50.63,1.10%,1.98%
31,maternidade,Correspondência Ampla,enxoval de bebê,Lance Manual,176,1,0.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,35,0.00,0.00,0.00%,0.00%
32,amamentação,Correspondência Ampla,sutiã para amamentação,Lance Manual,170,7,4.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,01.02,4,0.00,0.00,0.00%,0.00%
33,maternidade,Correspondência Ampla,gestante,Lance Manual,167,6,3.59%,2,2,33.33%,33.33%,0.45,0.45,2,2,79.80,79.80,0.90,11,88.67,88.67,1.13%,1.13%
34,amamentação,Correspondência Ampla,camisola de amamentação,Lance Manual,160,1,0.62%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,33,0.00,0.00,0.00%,0.00%
35,maternidade,Correspondência Ampla,camisola maternidade,Lance Manual,157,4,2.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,40,0.00,0.00,0.00%,0.00%
36,maternidade,Correspondência Ampla,saida maternidade feminina,Lance Manual,150,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,31,0.00,0.00,0.00%,0.00%
37,amamentação,Correspondência Ampla,amamentação,Lance Manual,141,5,3.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.75,12,0.00,0.00,0.00%,0.00%
38,amamentação,Correspondência Ampla,sutia amamentação com bojo,Lance Manual,139,9,6.47%,1,1,11.11%,11.11%,1.34,1.34,1,1,39.90,39.90,1.34,7,29.67,29.67,3.37%,3.37%
39,maternidade,Correspondência Ampla,coisas de bebê,Lance Manual,136,2,1.47%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,36,0.00,0.00,0.00%,0.00%
40,amamentação,Correspondência Ampla,pijama pós parto,Lance Manual,123,1,0.81%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,17,0.00,0.00,0.00%,0.00%
41,amamentação,Correspondência Ampla,sutiã amamentacao,Lance Manual,120,11,9.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.61,3,0.00,0.00,0.00%,0.00%
42,maternidade,Correspondência Ampla,sutiã maternidade,Lance Manual,115,9,7.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.31,5,0.00,0.00,0.00%,0.00%
43,maternidade,Correspondência Ampla,roupa gestante,Lance Manual,112,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,17,0.00,0.00,0.00%,0.00%
44,maternidade,Correspondência Ampla,kit maternidade,Lance Manual,108,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
45,amamentação,Correspondência Ampla,sutian amamentação com bojo,Lance Manual,104,4,3.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,7,0.00,0.00,0.00%,0.00%
46,amamentação,Correspondência Ampla,soutien amamentação,Lance Manual,101,11,10.89%,2,2,18.18%,18.18%,0.75,0.75,2,2,79.80,79.80,1.49,4,53.53,53.53,1.87%,1.87%
47,gestante,Correspondência Ampla,calcinha gestante,Lance Manual,98,4,4.08%,1,1,25.00%,25.00%,0.48,0.48,1,1,39.90,39.90,0.48,27,83.12,83.12,1.20%,1.20%
48,maternidade,Correspondência Ampla,baby dool,Lance Manual,95,2,2.11%,1,1,50.00%,50.00%,0.30,0.30,1,1,39.90,39.90,0.30,25,133.00,133.00,0.75%,0.75%
49,maternidade,Correspondência Ampla,camisola,Lance Manual,93,1,1.08%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,32,0.00,0.00,0.00%,0.00%
50,amamentação,Correspondência Ampla,camisola amamentação com robe,Lance Manual,90,3,3.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,27,0.00,0.00,0.00%,0.00%
51,amamentação,Correspondência Ampla,sutian amamentação,Lance Manual,90,1,1.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,7,0.00,0.00,0.00%,0.00%
52,amamentação,Correspondência Ampla,sutiã amamentação plus size,Lance Manual,83,7,8.43%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,01.02,14,0.00,0.00,0.00%,0.00%
53,amamentação,Correspondência Ampla,kit sutian amamentação,Lance Manual,82,5,6.10%,3,3,60.00%,60.00%,0.24,0.24,3,3,119.70,119.70,0.73,6,163.78,163.78,0.61%,0.61%
54,maternidade,Correspondência Ampla,pijama maternidade,Lance Manual,79,5,6.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.75,27,0.00,0.00,0.00%,0.00%
55,maternidade,Correspondência Ampla,kit bebe,Lance Manual,79,3,3.80%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,32,0.00,0.00,0.00%,0.00%
56,maternidade,Correspondência Ampla,vestido para grávida,Lance Manual,72,4,5.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,32,0.00,0.00,0.00%,0.00%
57,maternidade,Correspondência Ampla,kit enxoval de bebê,Lance Manual,67,2,2.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,25,0.00,0.00,0.00%,0.00%
58,maternidade,Correspondência Ampla,vestido para gestante,Lance Manual,66,2,3.03%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,24,0.00,0.00,0.00%,0.00%
59,gestante,Correspondência Ampla,calça gestante confortável,Lance Manual,66,1,1.52%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,25,0.00,0.00,0.00%,0.00%
60,maternidade,Correspondência Ampla,maternidade,Lance Manual,64,2,3.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.30,19,0.00,0.00,0.00%,0.00%
61,amamentação,Correspondência Ampla,sitiam amamentação,Lance Manual,63,8,12.70%,1,1,12.50%,12.50%,1.13,1.13,1,1,39.90,39.90,1.13,5,35.45,35.45,2.82%,2.82%
62,maternidade,Correspondência Ampla,grávida,Lance Manual,61,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,28,0.00,0.00,0.00%,0.00%
63,gestante,Correspondência Ampla,gestante,Lance Manual,60,1,1.67%,3,1,300.00%,100.00%,0.04,0.12,3,1,99.70,39.90,0.12,8,830.83,332.50,0.12%,0.30%
64,amamentação,Correspondência Ampla,sutiã com bojo amamentação,Lance Manual,59,4,6.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,8,0.00,0.00,0.00%,0.00%
65,maternidade,Correspondência Ampla,vestido de grávida,Lance Manual,59,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,33,0.00,0.00,0.00%,0.00%
66,maternidade,Correspondência Ampla,vestido grávida,Lance Manual,59,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,30,0.00,0.00,0.00%,0.00%
67,amamentação,Correspondência Ampla,top amamentação,Lance Manual,56,3,5.36%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.40,14,0.00,0.00,0.00%,0.00%
68,amamentação,Correspondência Ampla,sutia amamentacao,Lance Manual,55,4,7.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.57,4,0.00,0.00,0.00%,0.00%
69,amamentação,Correspondência Ampla,sutiã de amamentação de algodão,Lance Manual,54,3,5.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,6,0.00,0.00,0.00%,0.00%
70,amamentação,Correspondência Ampla,kit sutiã amamentação com bojo,Lance Manual,54,3,5.56%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,6,0.00,0.00,0.00%,0.00%
71,amamentação,Correspondência Ampla,kit sutiã de amamentação,Lance Manual,53,4,7.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,8,0.00,0.00,0.00%,0.00%
72,amamentação,Correspondência Ampla,cinta modeladora pós parto,Lance Manual,52,1,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,14,0.00,0.00,0.00%,0.00%
73,amamentação,Correspondência Ampla,sutiã pós parto,Lance Manual,51,4,7.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.57,6,0.00,0.00,0.00%,0.00%
74,maternidade,Correspondência Ampla,enchoval de bebê completo,Lance Manual,50,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,20,0.00,0.00,0.00%,0.00%
75,gestante,Correspondência Ampla,pijama feminino inverno,Lance Manual,50,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,29,0.00,0.00,0.00%,0.00%
76,amamentação,Correspondência Ampla,soutien amamentação com bojo,Lance Manual,49,4,8.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.58,5,0.00,0.00,0.00%,0.00%
77,amamentação,Correspondência Ampla,sutiã sem bojo,Lance Manual,49,1,2.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.15,28,0.00,0.00,0.00%,0.00%
78,amamentação,Correspondência Ampla,sutiã de amamentação reforçado,Lance Manual,48,2,4.17%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.29,8,0.00,0.00,0.00%,0.00%
